nb,is_prime,T_part1,T_part2,T_part3
1000003,true,5039000,4433800,60800
2000003,true,4763400,4201800,25500
4000037,true,9049100,4857500,47000
8000009,true,18851800,9520600,60200
16000057,true,35778700,20530600,86400
32000011,true,75527700,54110300,116900
64000031,true,181802900,77640100,161500
128000003,true,348663100,159310300,243600
256000001,true,637865200,317687800,316900
512000009,true,1238989400,622327300,516600
1024000009,true,2472110300,1278216100,617400
2048000011,true,4929607500,2527290900,698100
